Input Compound Name,Matched Compound Name,Matched COMPOUND_ID,Source
cystine,Cystine,17376,KEGG COMPOUND
sphingosine,Sphingosine,16393,KEGG COMPOUND
deoxycholate,deoxycholate,23614,UniProt
cystathionine,Cystathionine,17755,KEGG COMPOUND
sphinganine,Sphinganine,16566,KEGG COMPOUND
flavin adenine dinucleotide (fad),FLAVIN-ADENINE DINUCLEOTIDE,16238,PDBeChem
fumarate,fumarate,29806,UniProt
gamma-glutamylglutamate,gamma-Glutamylglutamate,73705,ChemIDplus
gluconate,gluconate,24265,IUPAC
glycine,Glycine,15428,KEGG COMPOUND
glycocholate,glycocholate,29746,UniProt
guanidinoacetate,Guanidinoacetate,16344,KEGG COMPOUND
histidine,Histidine,27570,KEGG COMPOUND
cortisol,Cortisol,17650,KEGG COMPOUND
hypotaurine,Hypotaurine,16668,KEGG COMPOUND
inosine,Inosine,17596,KEGG COMPOUND
myo-inositol,myo-Inositol,17268,KEGG COMPOUND
isoleucine,ISOLEUCINE,17191,PDBeChem
2-aminoadipate,2-aminoadipic acid,37024,ChemIDplus
citrulline,Citrulline,18211,KEGG COMPOUND
leucine,LEUCINE,15603,PDBeChem
lysine,lysine,25094,IUPAC
malate,Malate,30797,KEGG COMPOUND
methionine,Methionine,16811,KEGG COMPOUND
nicotinamide,nicotinamide,17154,WHO MedNet
ornithine,Ornithine,18257,KEGG COMPOUND
orotate,orotate,30839,UniProt
palmitoleate (16:1n7),2-palmitoleate,72745,SUBMITTER
phenylalanine,Phenylalanine,28044,KEGG COMPOUND
phosphate,Phosphate,18367,KEGG COMPOUND
proline,PROLINE,17203,PDBeChem
lactate,lactate,24996,UniProt
pyridoxal,Pyridoxal,17310,KEGG COMPOUND
retinol (vitamin a),retinol (vit A),17336,DrugCentral
salicylate,Salicylate,30762,KEGG COMPOUND
serine,Serine,17822,KEGG COMPOUND
serotonin,Serotonin,28790,KEGG COMPOUND
taurine,Taurine,15891,KEGG COMPOUND
urea,Urea,16199,KEGG COMPOUND
uridine,Uridine,16704,KEGG COMPOUND
trans-urocanate,trans-urocanate,17771,UniProt
glutamate,Glutamate,18237,KEGG COMPOUND
glutamine,Glutamine,28300,KEGG COMPOUND
threonine,THREONINE,16857,PDBeChem
tryptophan,Tryptophan,27897,KEGG COMPOUND
valine,VALINE,16414,PDBeChem
glucose,Glucose,17234,KEGG COMPOUND
alpha-ketobutyrate,alpha-Ketobutyrate,30831,KEGG COMPOUND
adenosine,Adenosine,16335,KEGG COMPOUND
betaine,Betaine,17750,KEGG COMPOUND
cysteine,Cysteine,15356,KEGG COMPOUND
mannose,mannose,37684,IUPAC
dimethylglycine,Dimethylglycine,17724,KEGG COMPOUND
alanine,Alanine,16449,KEGG COMPOUND
tyrosine,Tyrosine,18186,KEGG COMPOUND
pseudouridine,Pseudouridine,17802,KEGG COMPOUND
pyruvate,pyruvate,15361,UniProt
uracil,Uracil,17568,KEGG COMPOUND
cytidine,Cytidine,17562,KEGG COMPOUND
caffeine,Caffeine,27732,KEGG COMPOUND
fructose,Fructose,28757,KEGG COMPOUND
adenine,Adenine,16708,KEGG COMPOUND
cytosine,Cytosine,16040,KEGG COMPOUND
maltose,Maltose,17306,KEGG COMPOUND
asparagine,ASPARAGINE,50347,PDBeChem
n-stearoyl-sphinganine (d18:0/18:0)*,N-stearoyl-C16-sphinganine,82811,SUBMITTER
dihydroorotate,(S)-dihydroorotate,30864,UniProt
trans-4-hydroxyproline,4-hydroxyproline,20392,IUPAC
allantoin,Allantoin,15676,KEGG COMPOUND
xanthine,Xanthine,17712,KEGG COMPOUND
5-oxoproline,5-Oxoproline,16010,KEGG COMPOUND
picolinate,picolinate,38184,UniProt
sarcosine,Sarcosine,15611,KEGG COMPOUND
pantothenate,pantothenate,16454,UniProt
pipecolate,L-Pipecolate,30633,KEGG COMPOUND
phosphoethanolamine,Phosphoethanolamine,17553,KEGG COMPOUND
glycerate,(R)-glycerate,16659,UniProt
3-ureidopropionate,3-Ureidopropionate,18261,KEGG COMPOUND
n-acetylleucine,N-acetylleucine,17786,ChemIDplus
n-acetylmethionine,N-Acetylmethionine,21557,KEGG COMPOUND
n-acetylvaline,N-Acetylvaline,21565,ChemIDplus
"bilirubin (z,z)","bilirubin(Z,Z)",16990,ChEBI
thyroxine,thyroxine,30660,IUPAC
gamma-glutamyltyrosine,gamma-glutamyltyrosine,82969,ChEBI
methyl indole-3-acetate,indole-3-acetate ester,64633,ChEBI
alpha-tocopherol,alpha-Tocopherol,18145,KEGG COMPOUND
n-acetylalanine,N-Acetylalanine,40992,DrugBank
4-acetamidobutanoate,4-acetamidobutanoate,11951,IUPAC
3-aminoisobutyrate,L-3-aminoisobutyrate,18188,ChEBI
citrate,citrate,50744,ChEBI
2-aminobutyrate,D-2-Aminobutyrate,28797,KEGG COMPOUND
urate,Urate,17775,KEGG COMPOUND
ursodeoxycholate,Ursodeoxycholate,9907,KEGG COMPOUND
oleoyl ethanolamide,oleoyl 1-ethanolamide,71466,SUBMITTER
gamma-glutamylglutamine,gamma-Glutamylglutamate,73705,ChemIDplus
4-hydroxyphenylpyruvate,4-Hydroxyphenylpyruvate,36242,KEGG COMPOUND
butyrate/isobutyrate (4:0),isobutyl butyrate,87683,ChemIDplus
tigloylglycine,N-Tiglylglycine,73018,HMDB
n-acetylneuraminate,N-acetylneuraminate,21619,ChEBI
n-acetylglucosaminylasparagine,N-Acetylglucosaminylasparagine,17261,ChemIDplus
acetoacetate,Acetoacetate,13705,KEGG COMPOUND
creatine,Creatine,16919,KEGG COMPOUND
"cys-gly, oxidized","Cys-Gly, oxidized",133040,ChEBI
estrone 3-sulfate,Estrone 3-sulfate,17474,KEGG COMPOUND
dihomo-linoleate (20:2n6),dihomo-linoleate (20:2n6),83066,ChEBI
gamma-glutamylhistidine,gamma-glutamylhistidine,133032,ChEBI
2-hydroxystearate,2-hydroxystearate,76724,ChEBI
n1-methyladenosine,N-methyladenosine,21891,IUPAC
glycerol,Glycerol,17754,KEGG COMPOUND
choline,Choline,15354,KEGG COMPOUND
gamma-glutamylleucine,gamma-glutamylleucine(1-),133038,ChEBI
3-methoxytyrosine,3-hydroxytyrosine,49168,IUPAC
4-acetamidophenol,4-acetamidophenol,46195,NIST Chemistry WebBook
beta-hydroxyisovalerate,beta-hydroxyisovalerate,82957,ChEBI
arachidonoyl ethanolamide,arachidonoyl ethanolamide,2700,ChemIDplus
palmitoyl ethanolamide,palmitoleyl alcohol,75623,SUBMITTER
n-palmitoyl-sphingosine (d18:1/16:0),N-palmitoyl-sphingosine,72959,ChEBI
1-palmitoyl-2-oleoyl-gpe (16:0/18:1),1-palmitoyl-2-oleoyl-GPC (16:0/18:1),73001,ChEBI
1-palmitoyl-2-linoleoyl-gpi (16:0/18:2),1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),72838,ChEBI
1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),73002,ChEBI
stearoyl sphingomyelin (d18:1/18:0),stearoyl sphingomyelin,83358,ChEBI
1-palmitoyl-2-oleoyl-gpc (16:0/18:1),1-palmitoyl-2-oleoyl-GPC (16:0/18:1),73001,ChEBI
n-stearoyl-sphingosine (d18:1/18:0)*,N-C24:1-C17-sphingosine,74185,SUBMITTER
glycochenodeoxycholate,Glycochenodeoxycholate,36274,KEGG COMPOUND
taurochenodeoxycholate,Taurochenodeoxycholate,9407,KEGG COMPOUND
taurocholate,Taurocholate,28865,KEGG COMPOUND
taurodeoxycholate,Taurodeoxycholate,9410,KEGG COMPOUND
2-hydroxyhippurate (salicylurate),2-hydroxyhippurate,132923,ChEBI
3-(n-acetyl-l-cystein-s-yl) acetaminophen,3-(N-acetyl-L-cystein-S-yl)acetaminophen,133435,ChEBI
4-acetaminophen sulfate,4-acetaminophen sulfate,32635,ChEBI
eicosapentaenoate (epa; 20:5n3),eicosapentaenoate,61330,ChEBI
methylsuccinate,methylsuccinates,132961,ChEBI
ethylmalonate,Ethylmaleimide,44485,ChemIDplus
carnitine,Carnitine,3424,KEGG COMPOUND
benzoate,benzoate,16150,IUPAC
3-phenylpropionate (hydrocinnamate),3-phenyl-3-hydroxypropionitrile,189864,ChEBI
hippurate,Hippurate,18089,KEGG COMPOUND
xanthurenate,xanthurenate,71201,UniProt
3-methyl-2-oxovalerate,3-Methyl-2-oxovalerate,28654,HMDB
methionine sulfoxide,METHIONINE SULFOXIDE,45764,PDBeChem
3-methylhistidine,3-Methylhistidine,27596,KEGG COMPOUND
4-acetamidophenylglucuronide,4-Nitrophenylglucuronide,90146,ChemIDplus
5-hydroxylysine,5-HYDROXYLYSINE,18040,PDBeChem
4-guanidinobutanoate,4-Guanidinobutanoate,15728,KEGG COMPOUND
glucuronate,Glucuronate,15748,KEGG COMPOUND
glycerol 3-phosphate,Glycerol-3-phosphate,15978,KEGG COMPOUND
imidazole lactate,Imidazole lactate,27487,KEGG COMPOUND
kynurenine,Kynurenine,28683,KEGG COMPOUND
glycerophosphorylcholine (gpc),glycerophosphorylcholine,135063,DrugCentral
maltotriose,Maltotriose,27931,KEGG COMPOUND
n-acetylglutamate,N-Acetylglutamine,73685,HMDB
n-alpha-acetylornithine,N-Acetylornithine,16543,KEGG COMPOUND
tartarate,tartrate,132950,ChEBI
xanthosine,Xanthosine,18107,KEGG COMPOUND
ribitol,Ribitol,15963,KEGG COMPOUND
glycodeoxycholate,Glycodeoxycholate,27471,KEGG COMPOUND
theophylline,Theophylline,28177,KEGG COMPOUND
quinate,Quinate,29751,KEGG COMPOUND
theobromine,Theobromine,28946,KEGG COMPOUND
paraxanthine,Paraxanthine,25858,KEGG COMPOUND
indolelactate,Indolelactate,17282,KEGG COMPOUND
3-indoxyl sulfate,3-Indoxyl sulfate,43355,ChemIDplus
gamma-glutamylphenylalanine,gamma-Glutamylphenylalanine,89582,ChemIDplus
4-methyl-2-oxopentanoate,4-Methyl-2-oxopentanoate,48430,KEGG COMPOUND
"1,5-anhydroglucitol (1,5-ag)","1,5-Anhydroglucitol",16070,KEGG COMPOUND
1-palmityl-gpc (o-16:0),1-palmityl-GPC,64496,ChEBI
1-stearoyl-2-arachidonoyl-gpi (18:0/20:4),1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),133606,ChEBI
sphingosine 1-phosphate,Sphingosine 1-phosphate,37550,KEGG COMPOUND
1-stearoyl-2-oleoyl-gps (18:0/18:1),1-stearoyl-2-oleoyl-GPC (18:0/18:1),75034,ChEBI
1-stearoyl-gpi (18:0),1-stearoyl-GPI(1),74243,ChEBI
"1,2-dipalmitoyl-gpc (16:0/16:0)",dipalmitoyl-GPC,72999,ChEBI
docosahexaenoate (dha; 22:6n3),hydroxy-docosapentaenoate,133654,UniProt
1-myristoyl-2-palmitoyl-gpc (14:0/16:0),1-myristoyl-2-palmitoyl-GPC (14:0/16:0),75062,ChEBI
alpha-hydroxyisocaproate,alpha-hydroxyisocaproate,133577,ChEBI
maleate,maleate,30780,UniProt
4-acetylphenol sulfate,4-acetylphenol sulfate,133225,ChEBI
2-hydroxyoctanoate,2-hydroxyoctanoate,133514,IUPAC
3-hydroxyoctanoate,3-hydroxyoctanoate,133511,IUPAC
palmitoylcarnitine (c16),L-Palmitoylcarnitine,17490,KEGG COMPOUND
hexanoylcarnitine (c6),hexanoylcarnitine,70749,ChEBI
n-acetylaspartate (naa),N-acetylaspartic acid,21547,ChemIDplus
dehydroepiandrosterone sulfate (dhea-s),Dehydroepiandrosterone sulfate,16814,KEGG COMPOUND
acetylcarnitine (c2),(R)-Acetylcarnitine,57589,ChemIDplus
cysteine s-sulfate,Cysteine-S-sulfate,27891,ChemIDplus
1-palmitoylglycerol (16:0),1-palmitoylglycerol,69081,ChemIDplus
erythritol,Erythritol,17113,KEGG COMPOUND
saccharin,Saccharin,32111,KEGG DRUG
3-hydroxymyristate,3-hydroxymyristate,84197,SUBMITTER
1-oleoylglycerol (18:1),1-oleoylglycerol,75342,ChemIDplus
3-methyl-2-oxobutyrate,3-methyl-2-oxobutyrate,11851,ChEBI
homoarginine,Homoarginine,27747,KEGG COMPOUND
homocitrulline,homocitrulline,58148,ChEBI
pyroglutamylglutamine,glutaminylglutamine,73846,ChEBI
2-linoleoylglycerol (18:2),2-Linoleoylglycerol,75457,ChemIDplus
3-hydroxydecanoate,3-hydroxydecanoate,132979,IUPAC
edta,EDTA,4735,KEGG COMPOUND
n-acetylglycine,N-acetylglycine,61887,ChEBI
ribonate,D-Ribonate,17773,KEGG COMPOUND
threonate,L-Threonate,49060,KEGG COMPOUND
indoleacetate,Indoleacetic acid,16411,KEGG COMPOUND
1-linoleoylglycerol (18:2),1-Linoleoylglycerol,75568,ChEBI
1-methylhistidine,1-Methylhistidine,27596,KEGG COMPOUND
butyrylcarnitine (c4),Butyrylcarnitine,7676,ChEBI
isobutyrylcarnitine (c4),isobutyrylcarnitine,73017,ChEBI
7-ketodeoxycholate,7-ketotaurodeoxycholate,137820,ChEBI
glycolithocholate,Glycolithocholate,37998,KEGG COMPOUND
androsterone sulfate,androstane sulfate,131647,ChEBI
indolepropionate,indolepropionate,82916,ChEBI
n-(2-furoyl)glycine,N-(furan-2-ylcarbonyl)glycine,82912,IUPAC
dodecanedioate (c12-dc),"1,12-diascorbyl dodecanedioate",59753,ChEBI
"glutamate, gamma-methyl ester",gamma-methyl L-glutamate,21306,ChEBI
n-acetyltyrosine,N-Acetyltyrosine,21563,HMDB
"1,3-dimethylurate","3,7-dimethylurate",68531,UniProt
3-methylxanthine,3-Methylxanthine,62207,ChemIDplus
3-hydroxylaurate,2-hydroxylaurate,141772,SUBMITTER
pyridoxate,pyridoxates,132948,ChEBI
gamma-glutamylvaline,gamma-Glutamylvaline,68848,HMDB
pyroglutamylvaline,Pyroglutamyl valine,132991,ChemIDplus
3-hydroxysebacate,3-hydroxysebacate,132935,ChEBI
5-hydroxyhexanoate,5-hydroxyhexanoate,132985,IUPAC
propionylglycine,propanoylglycine,89836,ChEBI
propionylcarnitine (c3),Propionylcarnitine,28867,ChemIDplus
pro-hydroxy-pro,pro-hydroxy-pro,133733,ChEBI
3-hydroxy-2-ethylpropionate,3-hydroxy-2-ethylpropionate,82955,ChEBI
3-carboxy-4-methyl-5-propyl-2-furanpropanoate (cmpf),3-carboxy-4-methyl-5-propyl-2-furanpropanoate,194524,UniProt
docosadienoate (22:2n6),Docosadienoate (22:2n6),145970,SUBMITTER
4-imidazoleacetate,4-Imidazoleacetate,16974,KEGG COMPOUND
1-methyl-4-imidazoleacetate,"1,4-methyl-imidazoleacetic acid",1606,HMDB
stearidonate (18:4n3),stearidonate (18:4n3),77222,ChEBI
octanoylcarnitine (c8),octanoylcarnitine,73039,ChEBI
tauro-beta-muricholate,tauro-beta-muricholate,133064,ChEBI
decanoylcarnitine (c10),decanoylcarnitine,68830,ChEBI
n-acetylglutamine,N-Acetylglutamine,73685,HMDB
n-acetyltryptophan,N-acetyltryptophan,70976,IUPAC
n-acetylphenylalanine,N-Acetylphenylalanine,16259,ChemIDplus
gamma-glutamyl-epsilon-lysine,gamma-glutamyl-epsilon-lysine,88494,ChEBI
1-palmitoyl-gpc (16:0),1-palmitoyl-GPC (16:0),72998,ChEBI
1-margaroyl-gpc (17:0),1-margaroyl-GPC (17:0),74340,ChEBI
n-acetylarginine,N-acetyldinaline,90195,ChEBI
piperine,Piperine,28821,KEGG COMPOUND
campesterol,Campesterol,28623,KEGG COMPOUND
myristoylcarnitine (c14),L-Myristoylcarnitine,84634,HMDB
1-stearoyl-gpc (18:0),1-stearoyl-2-oleoyl-GPC (18:0/18:1),75034,ChEBI
1-oleoyl-gpc (18:1),1-oleoyl-GPI (18:1),78762,ChEBI
n-acetylthreonine,N-acetylthreonine,45826,ChEBI
n-acetylisoleucine,N-acetylisoleucine,84056,IUPAC
10-heptadecenoate (17:1n7),9-hexadecenoate(1-),71449,ChEBI
epiandrosterone sulfate,epiandrosterone 3-sulfate,133729,UniProt
n-acetylhistidine,N-Acetylhistidine,16437,ChemIDplus
gamma-glutamylglycine,gamma-glutamylalanylglycine,143251,ChEBI
gamma-glutamyltryptophan,gamma-glutamyltryptophan,133028,ChEBI
stachydrine,Stachydrine,35280,KEGG COMPOUND
alpha-hydroxyisovalerate,alpha-hydroxyisovalerate,64669,ChEBI
gamma-glutamylmethionine,gamma-glutamylmethioninate,133690,ChEBI
gamma-glutamylthreonine,gamma-glutamylthreonine,82968,IUPAC
p-cresol sulfate,p-cresol sulfate,133670,ChEBI
erythronate*,erythronates,133792,ChEBI
salicyluric glucuronide*,salicyluric glucuronide,133026,ChEBI
aconitate [cis or trans],trans-aconitate,15708,UniProt
1-arachidoyl-gpc (20:0),1-arachidoyl-GPC (20:0),74968,ChEBI
stearoylcarnitine (c18),(R)-stearoylcarnitine,84644,ChEBI
laurylcarnitine (c12),laurylcarnitine,77086,ChEBI
1-linoleoyl-gpc (18:2),1-linoleoyl-GPC (18:2),28733,ChEBI
7-methylxanthine,7-methylxanthine,48991,UniProt
"1,3,7-trimethylurate","1,3,7-trimethylurate",691622,ChemIDplus
"3,7-dimethylurate","3,7-dimethylurate",68531,UniProt
"1,7-dimethylurate","3,7-dimethylurate",68531,UniProt
5-acetylamino-6-formylamino-3-methyluracil,5-Acetylamino-6-formylamino-3-methyluracil,32643,ChemIDplus
5-acetylamino-6-amino-3-methyluracil,5-Acetylamino-6-formylamino-3-methyluracil,32643,ChemIDplus
1-methylxanthine,1-methylxanthines,68443,ChEBI
n1-methylinosine,N1-Methylinosine,19065,HMDB
"n2,n2-dimethylguanosine",N2-Dimethylguanosine,19289,HMDB
n4-acetylcytidine,N(4)-acetylcytidine,70989,UniProt
n6-carbamoylthreonyladenosine,N6-Carbamoylthreonyladenosine,21440,HMDB
phenylacetylglutamine,Phenylacetylglutamine,8087,KEGG COMPOUND
4-hydroxyhippurate,4-hydroxyhippurate,133613,ChEBI
"5,6-dihydrouridine","5,6-dihydrouridine",23774,IUPAC
3-(3-amino-3-carboxypropyl)uridine*,3-(3-amino-3-carboxypropyl)uridine,19928,IUPAC
1-arachidonylglycerol (20:4),1-Arachidonoylglycerol,34071,KEGG COMPOUND
cysteine-glutathione disulfide,glutathione amide disulfide,59896,UniProt
5-methyluridine (ribothymidine),5-methyluridine,45996,IUPAC
isovalerylglycine,isovalerylglycine,70984,ChEBI
7-methylguanine,7-Methylguanine,2274,KEGG COMPOUND
1-stearoyl-gpe (18:0),2-stearoyl-GPE (18:0),133144,ChEBI
3-methylcytidine,3-methylcytosine,39992,UniProt
n1-methyl-2-pyridone-5-carboxamide,N1-Methyl-4-pyridone-5-carboxamide,27838,KEGG COMPOUND
gamma-glutamylisoleucine*,gamma-glutamylleucine(1-),133038,ChEBI
oleoylcarnitine (c18:1),Oleoylcarnitine,84651,HMDB
2-methylbutyrylcarnitine (c5),2-methylbutyryl-L-carnitine,84840,ChEBI
phenol sulfate,Phenol sulfate,27905,KEGG COMPOUND
1-palmitoleoyl-gpc (16:1)*,2-palmitoleoyl-GPC (16:1),133515,ChEBI
malonylcarnitine,malonylcarnitine,73028,ChEBI
hexanoylglycine,Hexanoylglycine,64390,ChemIDplus
2-hydroxy-3-methylvalerate,2-hydroxy-3-methylvalerate,133082,ChEBI
1-arachidonoyl-gpc (20:4n6)*,1-arachidoyl-GPC (20:0),74968,ChEBI
1-dihomo-linolenoyl-gpc (20:3n3 or 6)*,1-dihomo-linolenoyl-GPC(20:3n6),86256,ChEBI
1-dihomo-linoleoyl-gpc (20:2)*,1-dihomo-linoleoyl-GPC (20:2),83055,ChEBI
2-arachidonoyl-gpc (20:4)*,2-arachidonoyl-GPC,76079,ChEBI
2-oleoyl-gpc (18:1)*,1-oleoyl-GPI (18:1),78762,ChEBI
2-linoleoyl-gpc (18:2)*,1-linoleoyl-GPC (18:2),28733,ChEBI
2-palmitoyl-gpc (16:0)*,1-palmitoyl-GPC (16:0),72998,ChEBI
1-docosahexaenoyl-gpc (22:6)*,2-docosahexaenoyl-GPC (22:6),131987,ChEBI
1-palmitoyl-gpe (16:0),1-palmitoyl-GPE (16:0),73004,ChEBI
1-oleoyl-gpe (18:1),1-oleoyl-GPI (18:1),78762,ChEBI
1-linoleoyl-gpe (18:2)*,1-linoleoyl-GPE (18:2),83058,ChEBI
1-arachidonoyl-gpe (20:4n6)*,1-arachidonoyl-GPI (20:4),133065,ChEBI
n-acetylcitrulline,N-Acetylanthranilate,16803,KEGG COMPOUND
2-hydroxypalmitate,2-hydroxypalmitate,65097,ChEBI
gulonate*,Gulonate,13115,KEGG COMPOUND
isobutyrylglycine,isobutyrylglycine,70979,HMDB
2-methylmalonylcarnitine (c4-dc),2-methylmalonylcarnitine(1-),133076,ChEBI
hydroquinone sulfate,hydroquinone sulfate,71062,ChEBI
catechol sulfate,catechol sulfate,133072,ChEBI
n-acetyl-aspartyl-glutamate (naag),N-acetyl-L-aspartyl-L-glutamate,76931,UniProt
tetradecanedioate (c14-dc),tetradecanedioate,76281,UniProt
hexadecanedioate (c16-dc),hexadecanedioate,76276,UniProt
1-myristoylglycerol (14:0),1-myristoyl glycerol,75562,ChEBI
glycerophosphoethanolamine,Glycerophosphoethanolamine,16929,KEGG COMPOUND
3-(3-hydroxyphenyl)propionate,3-(3-hydroxyphenyl)propionate,57277,ChEBI
ectoine,Ectoine,27592,KEGG COMPOUND
2-oleoyl-gpe (18:1)*,1-oleoyl-GPI (18:1),78762,ChEBI
2-palmitoyl-gpe (16:0)*,2-palmitoyl-GPE (16:0),132926,ChEBI
1-arachidonoyl-gpi (20:4)*,1-arachidonoyl-GPI (20:4),133065,ChEBI
1-palmitoyl-gpi (16:0),1-palmitoyl-GPI (16:0),72833,ChEBI
glycolithocholate sulfate*,glycolithocholate sulfate,9347,ChEBI
taurolithocholate 3-sulfate,Taurolithocholate 3-sulfate,17864,HMDB
deoxycarnitine,deoxycarnitine,16244,ChemIDplus
n6-succinyladenosine,N(6)-succinyladenosine,133523,ChEBI
2-arachidonoyl-gpe (20:4)*,1-arachidonoyl-GPI (20:4),133065,ChEBI
leucylleucine,leucylleucine,73531,ChEBI
indoleacetylglutamine,N-indoleacetylglutamine,70811,ChEBI
hexanoylglutamine,glutaminylglutamine,73846,ChEBI
n6-acetyllysine,N(6)-ACETYLLYSINE,17752,PDBeChem
dihomo-linolenate (20:3n3 or n6),dihomo-linoleate (20:2n6),83066,ChEBI
mannitol/sorbitol,Mannitol,16899,KEGG COMPOUND
tryptophan betaine,Tryptophan betaine,5832,ChemIDplus
4-vinylphenol sulfate,4-Vinylphenol,1883,KEGG COMPOUND
4-ethylphenylsulfate,4-phenanthrylsulfate,20470,UM-BBD
thymol sulfate,thymol sulfate,133663,ChEBI
pyrraline,Pyrraline,59973,ChemIDplus
2-linoleoyl-gpe (18:2)*,1-linoleoyl-GPE (18:2),83058,ChEBI
1-oleoyl-gpi (18:1),1-oleoyl-GPI (18:1),78762,ChEBI
1-linoleoyl-gpi (18:2)*,1-linoleoyl-GPI (18:2),133077,ChEBI
1-palmitoleoyl-gpe (16:1)*,2-palmitoleoyl-GPC (16:1),133515,ChEBI
2-hydroxyacetaminophen sulfate*,2-hydroxyacetaminophen sulfate,82942,ChEBI
2-methoxyacetaminophen sulfate*,2-hydroxyacetaminophen sulfate,82942,ChEBI
2-methoxyacetaminophen glucuronide*,2-methoxyacetaminophen beta-D-glucuronide,133005,ChEBI
o-cresol sulfate,o-cresol sulfate,133089,ChEBI
gamma-glutamylalanine,gamma-Glutamylalanine,50619,HMDB
n-acetylserine,N-acetylserine,45441,IUPAC
1-stearoyl-2-oleoyl-gpe (18:0/18:1),1-stearoyl-2-oleoyl-GPE (18:0/18:1),75038,ChEBI
4-allylphenol sulfate,4-allylphenol sulfate,133096,ChEBI
1-stearoyl-2-arachidonoyl-gpc (18:0/20:4),1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),74965,ChEBI
1-palmitoyl-2-linoleoyl-gpe (16:0/18:2),1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),73008,ChEBI
sphinganine-1-phosphate,Sphinganine 1-phosphate,16893,KEGG COMPOUND
glycosyl-n-stearoyl-sphingosine (d18:1/18:0),D-glucosyl-sphingosine,4177,ChEBI
"bilirubin (e,z or z,e)*","bilirubin(Z,Z)",16990,ChEBI
n-methylproline,N-Methylaniline,15733,KEGG COMPOUND
beta-cryptoxanthin,beta-Cryptoxanthin,10362,KEGG COMPOUND
"5alpha-androstan-3beta,17beta-diol disulfate","5alpha-androstan-3beta,17beta-diol disulfate",133114,ChEBI
"5alpha-pregnan-3beta,20alpha-diol disulfate","5alpha-pregnan-3beta,20alpha-diol disulfate",133118,ChEBI
glycocholenate sulfate*,glycosaminoglycan sulfate,35722,ChEBI
taurocholenate sulfate*,Taurolithocholate sulfate,17864,KEGG COMPOUND
"androstenediol (3beta,17beta) disulfate (1)","4-androsten-3beta,17beta-diol disulfate",133123,ChEBI
pregnenediol disulfate (c21h34o8s2)*,pregnen-diol disulfate,132994,ChEBI
"androstenediol (3beta,17beta) disulfate (2)","4-androsten-3beta,17beta-diol disulfate",133123,ChEBI
21-hydroxypregnenolone disulfate,21-Hydroxypregnenolone,28043,KEGG COMPOUND
