,Threshold,Input Compound Name,Matched Compound Name,Matched COMPOUND_ID,Matched Score,In Debug CSV
33,0.0,carnosine,carnosine,57485,1.0,Yes
34,0.0,biliverdin,biliverdin,17033,1.0,No
35,0.0,succinate,succinate,30031,1.0,Yes
36,0.0,3-hydroxybutyrate (BHBA),sodium beta-Hydroxybutyrate,113373,0.71469146,No
37,0.0,cholesterol,cholesterol,16113,1.0,Yes
38,0.0,choline phosphate,Choline phosphate,18132,1.0,Yes
39,0.0,corticosterone,corticosterone,16827,1.0,Yes
40,0.0,cortisone,cortisone,16962,1.0,Yes
41,0.0,creatinine,creatinine,16737,1.0,Yes
42,0.0,cysteinylglycine,Cysteinylglycine,4047,1.0,No
43,0.0,cystine,cystine,17376,1.0,No
44,0.0,sphingosine,Sphingosine,16393,1.0,No
45,0.0,deoxycholate,deoxycholate,23614,1.0,No
46,0.0,cystathionine,Cystathionine,17755,1.0,No
47,0.0,sphinganine,sphinganine,16566,1.0,No
48,0.0,flavin adenine dinucleotide (FAD),FLAVIN-ADENINE DINUCLEOTIDE,16238,0.8278499,No
49,0.0,fumarate,fumarate,29806,1.0,Yes
50,0.0,gamma-glutamylglutamate,gamma-Glutamylglutamate,73705,1.0,No
51,0.0,gluconate,gluconate,24265,1.0,No
52,0.0,glutarate (C5-DC),glutarate,30921,0.6949765,No
53,0.0,glycine,glycine,15428,1.0,No
54,0.0,glycocholate,glycocholate,29746,1.0,Yes
55,0.0,guanidinoacetate,Guanidinoacetate,16344,1.0,Yes
56,0.0,histidine,histidine,27570,1.0,No
57,0.0,cortisol,cortisol,17650,1.0,Yes
58,0.0,hypotaurine,hypotaurine,57853,1.0,Yes
59,0.0,inosine,Inosine,17596,1.0,Yes
60,0.0,myo-inositol,myo-Inositol,17268,1.0,Yes
61,0.0,isoleucine,isoleucine,24898,1.0,No
62,0.0,2-aminoadipate,2-aminoadipic acid,37024,0.83459145,No
63,0.0,citrulline,citrulline,18211,1.0,No
64,0.0,leucine,leucine,25017,1.0,No
65,0.0,lysine,lysine,25094,1.0,No
66,0.0,malate,malate,15595,1.0,No
67,0.0,methionine,methionine,16811,1.0,No
68,0.0,palmitate (16:0),Palmitate,15756,0.6098226,Yes
69,0.0,nicotinamide,nicotinamide,17154,1.0,Yes
70,0.0,stearate (18:0),SM(18:0),143617,0.6388976,No
71,0.0,ornithine,ornithine,18257,1.0,No
72,0.0,orotate,orotate,30839,1.0,Yes
73,0.0,palmitoleate (16:1n7),2-palmitoleate,72745,0.77586997,No
74,0.0,phenylalanine,phenylalanine,28044,1.0,No
75,0.0,phosphate,Phosphate,18367,1.0,Yes
76,0.0,proline,proline,26271,1.0,No
77,0.0,lactate,lactate,24996,1.0,No
78,0.0,pyridoxal,pyridoxal,17310,1.0,Yes
79,0.0,retinol (Vitamin A),retinol (vit A),17336,0.84931827,Yes
80,0.0,salicylate,salicylate,30762,1.0,Yes
81,0.0,serine,serine,17822,1.0,No
82,0.0,serotonin,serotonin,350546,1.0,Yes
83,0.0,taurine,taurine,507393,1.0,Yes
84,0.0,myristate (14:0),myristate,30807,0.66916776,No
85,0.0,urea,UREA,16199,1.0,Yes
86,0.0,uridine,Uridine,16704,1.0,Yes
87,0.0,trans-urocanate,trans-urocanate,17771,1.0,No
88,0.0,glutamate,glutamate,29987,1.0,No
89,0.0,glutamine,glutamine,28300,1.0,No
90,0.0,threonine,threonine,26986,1.0,No
91,0.0,tryptophan,tryptophan,27897,1.0,No
92,0.0,valine,valine,27266,1.0,No
93,0.0,glucose,glucose,17234,1.0,No
94,0.0,alpha-ketobutyrate,alpha-Ketobutyrate,30831,1.0,Yes
95,0.0,adenosine,Adenosine,16335,1.0,Yes
96,0.0,betaine,Betaine,17750,1.0,Yes
97,0.0,cysteine,cysteine,15356,1.0,No
98,0.0,mannose,mannose,37684,1.0,No
99,0.0,dimethylglycine,Dimethylglycine,17724,1.0,No
100,0.0,alanine,alanine,16449,1.0,No
101,0.0,tyrosine,tyrosine,18186,1.0,No
102,0.0,pseudouridine,pseudouridine,17802,1.0,Yes
103,0.0,pyruvate,pyruvate,15361,1.0,Yes
104,0.0,uracil,uracil,17568,1.0,Yes
105,0.0,cytidine,Cytidine,17562,1.0,Yes
106,0.0,caffeine,caffeine,27732,1.0,Yes
107,0.0,fructose,FRUCTOSE,28645,1.0,Yes
108,0.0,adenine,adenine,16708,1.0,Yes
109,0.0,cytosine,Cytosine,16040,1.0,Yes
110,0.0,caprate (10:0),caprate,27689,0.6761162,No
111,0.0,margarate (17:0),1-margaroyl-GPC (17:0),74340,0.6662875,No
112,0.0,nonadecanoate (19:0),nonadecanoate,78796,0.6359661,No
113,0.0,arachidate (20:0),arachidate,32360,0.6798591,No
114,0.0,maltose,Maltose,17306,1.0,Yes
115,0.0,asparagine,asparagine,22653,1.0,No
116,0.0,N-stearoyl-sphinganine (d18:0/18:0)*,N-stearoyl-C16-sphinganine,82811,0.8744616,No
117,0.0,dihydroorotate,(S)-dihydroorotate,30864,0.783028,Yes
118,0.0,caproate (6:0),caproate,17120,0.63305134,Yes
119,0.0,caprylate (8:0),caprylate,25646,0.74211276,No
120,0.0,pentadecanoate (15:0),pentadecanoate,78795,0.73877263,No
121,0.0,trans-4-hydroxyproline,4-hydroxyproline,20392,0.873616,No
122,0.0,allantoin,allantoin,15676,1.0,No
123,0.0,xanthine,Xanthine,17712,1.0,Yes
124,0.0,5-oxoproline,5-oxoproline,16010,1.0,No
125,0.0,picolinate,picolinate,38184,1.0,No
126,0.0,sarcosine,sarcosine,15611,1.0,No
127,0.0,pantothenate,pantothenate,16454,1.0,No
128,0.0,pipecolate,L-pipecolate,61185,0.8321383,Yes
129,0.0,phosphoethanolamine,Phosphoethanolamine,17553,1.0,Yes
130,0.0,glycerate,(R)-glycerate,16659,0.7573361,Yes
131,0.0,3-ureidopropionate,3-ureidopropionate,11892,1.0,Yes
132,0.0,N-acetylleucine,N-acetylleucine,17786,1.0,No
133,0.0,N-acetylmethionine,N-acetylmethionine,132958,1.0,No
134,0.0,N-acetylvaline,N-Acetylvaline,21565,1.0,No
135,0.0,erucate (22:1n9),CE 22:2,183801,0.64888734,No
136,0.0,"bilirubin (Z,Z)","bilirubin(Z,Z)",16990,1.0,No
137,0.0,thyroxine,thyroxine,30660,1.0,No
138,0.0,gamma-glutamyltyrosine,gamma-glutamyltyrosine,82969,1.0,No
139,0.0,methyl indole-3-acetate,indole-3-acetate ester,64633,0.891285,No
140,0.0,alpha-tocopherol,alpha-Tocopherol,18145,1.0,Yes
141,0.0,N-acetylalanine,N-Acetylalanine,40992,1.0,No
142,0.0,vanillylmandelate (VMA),vanilmandelate,27622,0.5507066,No
143,0.0,4-acetamidobutanoate,4-acetamidobutanoate,11951,1.0,No
144,0.0,3-aminoisobutyrate,L-3-aminoisobutyrate,18188,0.9186292,No
145,0.0,citrate,citrate,50744,1.0,No
146,0.0,2-aminobutyrate,D-2-Aminobutyrate,28797,0.8747052,No
147,0.0,urate,Urate,17775,1.0,Yes
148,0.0,ursodeoxycholate,ursodeoxycholate,78604,1.0,No
149,0.0,oleoyl ethanolamide,oleoyl 1-ethanolamide,71466,0.92359066,Yes
150,0.0,gamma-glutamylglutamine,gamma-Glutamylglutamate,73705,0.9163643,No
151,0.0,4-hydroxyphenylpyruvate,4-Hydroxyphenylpyruvate,36242,1.0,Yes
152,0.0,butyrate/isobutyrate (4:0),isobutyl butyrate,87683,0.7631047,No
153,0.0,tigloylglycine,N-Tiglylglycine,73018,0.76119524,No
154,0.0,N-acetylneuraminate,N-acetylneuraminate,21619,1.0,No
155,0.0,N-acetylglucosaminylasparagine,N-Acetylglucosaminylasparagine,17261,1.0,No
156,0.0,acetoacetate,acetoacetate,13705,1.0,Yes
157,0.0,creatine,creatine,57947,1.0,Yes
158,0.0,"cys-gly, oxidized","Cys-Gly, oxidized",133040,1.0,No
159,0.0,estrone 3-sulfate,Estrone 3-sulfate,17474,1.0,Yes
160,0.0,dihomo-linoleate (20:2n6),Dihomo-linoleate (20:2N6),88670,1.0,No
161,0.0,gamma-glutamylhistidine,gamma-glutamylhistidine,133032,1.0,No
162,0.0,2-hydroxystearate,2-hydroxystearate,76724,1.0,No
163,0.0,N1-methyladenosine,N-methyladenosine,21891,0.90226215,Yes
164,0.0,glycerol,Glycerol,17754,1.0,Yes
165,0.0,choline,choline,15354,1.0,Yes
166,0.0,gamma-glutamylleucine,gamma-glutamylleucine(1-),133038,0.85286623,No
167,0.0,3-methoxytyrosine,3-hydroxytyrosine,49168,0.8544942,No
168,0.0,4-acetamidophenol,4-acetamidophenol,46195,1.0,Yes
169,0.0,beta-hydroxyisovalerate,beta-hydroxyisovalerate,82957,1.0,No
170,0.0,arachidonoyl ethanolamide,arachidonoyl ethanolamide,2700,1.0,Yes
171,0.0,palmitoyl ethanolamide,palmitoleyl alcohol,75623,0.7679919,No
172,0.0,N-palmitoyl-sphingosine (d18:1/16:0),N-palmitoyl-sphingosine,72959,0.901528,No
173,0.0,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),1-palmitoyl-2-oleoyl-GPC (16:0/18:1),73001,0.9097417,No
174,0.0,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),72838,1.0,No
175,0.0,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),73002,1.0,No
176,0.0,stearoyl sphingomyelin (d18:1/18:0),stearoyl sphingomyelin,83358,0.84245396,No
177,0.0,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),1-palmitoyl-2-oleoyl-GPC (16:0/18:1),73001,1.0,No
178,0.0,N-stearoyl-sphingosine (d18:1/18:0)*,N-C24:1-C17-sphingosine,74185,0.7900715,No
179,0.0,glycochenodeoxycholate,glycochenodeoxycholate,36252,1.0,Yes
180,0.0,taurochenodeoxycholate,Taurochenodeoxycholate,9407,1.0,Yes
181,0.0,taurocholate,taurocholate,36257,1.0,Yes
182,0.0,taurodeoxycholate,taurodeoxycholate,36261,1.0,No
183,0.0,2-hydroxyhippurate (salicylurate),2-hydroxyhippurate,132923,0.79820114,No
184,0.0,3-(N-acetyl-L-cystein-S-yl) acetaminophen,3-(N-acetyl-L-cystein-S-yl)acetaminophen,133435,1.0,Yes
185,0.0,4-acetaminophen sulfate,4-acetaminophen sulfate,32635,1.0,Yes
186,0.0,eicosapentaenoate (EPA; 20:5n3),eicosapentaenoate,61330,0.82766634,No
187,0.0,methylsuccinate,methylsuccinates,132961,0.8496258,No
188,0.0,ethylmalonate,Ethylmaleimide,44485,0.78813744,No
189,0.0,carnitine,carnitine,17126,1.0,Yes
190,0.0,benzoate,benzoate,16150,1.0,Yes
191,0.0,3-phenylpropionate (hydrocinnamate),3-phenyl-3-hydroxypropionitrile,189864,0.78136384,No
192,0.0,hippurate,hippurate,606565,1.0,Yes
193,0.0,xanthurenate,xanthurenate,71201,1.0,No
194,0.0,suberate (C8-DC),suberates,132953,0.57703155,No
195,0.0,3-methyl-2-oxovalerate,3-Methyl-2-oxovalerate,28654,1.0,Yes
196,0.0,methionine sulfoxide,METHIONINE SULFOXIDE,45764,1.0,No
197,0.0,3-methylhistidine,3-methylhistidine,27596,1.0,No
198,0.0,4-acetamidophenylglucuronide,4-Nitrophenylglucuronide,90146,0.78448784,No
199,0.0,5-hydroxylysine,5-hydroxylysine,60175,1.0,Yes
200,0.0,4-guanidinobutanoate,4-guanidinobutanoate,57486,1.0,No
201,0.0,glucuronate,Glucuronate,15748,1.0,Yes
202,0.0,glycerol 3-phosphate,Glycerol-3-phosphate,15978,0.9520826,No
203,0.0,imidazole lactate,Imidazole lactate,27487,1.0,No
204,0.0,kynurenine,KYNURENINE,16946,1.0,Yes
205,0.0,glycerophosphorylcholine (GPC),Glycerophosphorylcholine,16870,0.7956214,Yes
206,0.0,maltotriose,Maltotriose,27931,1.0,Yes
207,0.0,N-acetylglutamate,N-Acetylglutamine,73685,0.89249843,No
208,0.0,N-alpha-acetylornithine,N-Acetylornithine,16543,0.89397126,No
209,0.0,tartarate,tartrate,132950,0.76273215,No
210,0.0,xanthosine,xanthosine,18107,1.0,No
211,0.0,ribitol,ribitol,15963,1.0,No
212,0.0,glycodeoxycholate,glycodeoxycholate,82982,1.0,No
213,0.0,theophylline,THEOPHYLLINE,28177,1.0,No
214,0.0,quinate,Quinate,29751,1.0,No
215,0.0,theobromine,THEOBROMINE,28946,1.0,No
216,0.0,paraxanthine,Paraxanthine,25858,1.0,Yes
217,0.0,indolelactate,Indolelactate,17282,1.0,No
218,0.0,3-indoxyl sulfate,3-Indoxyl sulfate,43355,1.0,No
219,0.0,gamma-glutamylphenylalanine,gamma-glutamylphenylalanine,82966,1.0,No
220,0.0,4-methyl-2-oxopentanoate,4-methyl-2-oxopentanoate,17865,1.0,Yes
221,0.0,"1,5-anhydroglucitol (1,5-AG)","1,5-Anhydroglucitol",16070,0.87420154,No
222,0.0,1-palmityl-GPC (O-16:0),1-palmityl-GPC,64496,0.83546114,No
223,0.0,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),133606,1.0,No
224,0.0,sphingosine 1-phosphate,Sphingosine 1-phosphate,37550,1.0,No
225,0.0,1-stearoyl-2-oleoyl-GPS (18:0/18:1),1-stearoyl-2-oleoyl-GPC (18:0/18:1),75034,0.88884836,No
226,0.0,1-stearoyl-GPI (18:0),1-stearoyl-GPI(1),74243,0.8546851,No
227,0.0,"1,2-dipalmitoyl-GPC (16:0/16:0)",dipalmitoyl-GPC,72999,0.7583169,No
228,0.0,docosahexaenoate (DHA; 22:6n3),hydroxy-docosapentaenoate,133654,0.75088286,No
229,0.0,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),1-myristoyl-2-palmitoyl-GPC (14:0/16:0),75062,1.0,No
230,0.0,alpha-hydroxyisocaproate,alpha-hydroxyisocaproate,133577,1.0,No
231,0.0,maleate,maleate,30780,1.0,No
232,0.0,4-acetylphenol sulfate,4-acetylphenol sulfate,133225,1.0,No
233,0.0,2-hydroxyoctanoate,2-hydroxyoctanoate,133514,1.0,No
234,0.0,levulinate (4-oxovalerate),levulinate,39150,0.71970916,No
235,0.0,3-hydroxyoctanoate,3-hydroxyoctanoate,133511,1.0,No
236,0.0,phenyllactate (PLA),phenyllactate,8100,0.7187761,No
237,0.0,palmitoylcarnitine (C16),L-Palmitoylcarnitine,17490,0.850905,Yes
238,0.0,hexanoylcarnitine (C6),hexanoylcarnitine,70749,0.80837053,No
239,0.0,N-acetylaspartate (NAA),N-acetylaspartic acid,21547,0.7807156,Yes
240,0.0,dehydroepiandrosterone sulfate (DHEA-S),Dehydroepiandrosterone sulfate,16814,0.75861007,No
241,0.0,acetylcarnitine (C2),(R)-Acetylcarnitine,57589,0.82466626,No
242,0.0,cysteine s-sulfate,Cysteine-S-sulfate,27891,0.98090315,No
243,0.0,1-palmitoylglycerol (16:0),1-palmitoylglycerol,69081,0.8682631,No
244,0.0,tartronate (hydroxymalonate),Tartronate semialdehyde,16992,0.74823076,No
245,0.0,oxalate (ethanedioate),oxalate,30623,0.74986416,Yes
246,0.0,erythritol,erythritol,17113,1.0,No
247,0.0,saccharin,Saccharin,32111,1.0,Yes
248,0.0,3-hydroxymyristate,3-hydroxymyristate,84197,1.0,No
249,0.0,iminodiacetate (IDA),IDA,24786,0.58918464,No
250,0.0,1-oleoylglycerol (18:1),1-oleoylglycerol,75342,0.8360727,No
251,0.0,3-methyl-2-oxobutyrate,3-methyl-2-oxobutyrate,11851,1.0,Yes
252,0.0,homoarginine,Homoarginine,27747,1.0,Yes
253,0.0,homocitrulline,homocitrulline,58148,1.0,No
254,0.0,pyroglutamylglutamine,glutaminylglutamine,73846,0.79191774,No
255,0.0,2-linoleoylglycerol (18:2),2-Linoleoylglycerol,75457,0.87568265,No
256,0.0,3-hydroxydecanoate,3-hydroxydecanoate,132979,1.0,No
257,0.0,EDTA,EDTA,4735,1.0,No
258,0.0,N-acetylglycine,N-acetylglycine,40410,1.0,No
259,0.0,ribonate,D-ribonate,17773,0.7646454,No
260,0.0,threonate,L-threonate,57561,0.76680183,Yes
261,0.0,galactonate,D-galactonate,12931,0.7465488,No
262,0.0,indoleacetate,Indoleacetic acid,16411,0.77944845,No
263,0.0,1-linoleoylglycerol (18:2),1-Linoleoylglycerol,75568,0.8507045,No
264,0.0,1-methylhistidine,1-Methylhistidine,27596,1.0,No
265,0.0,butyrylcarnitine (C4),Butyrylcarnitine,7676,0.7914723,No
266,0.0,isobutyrylcarnitine (C4),isobutyrylcarnitine,73017,0.80512965,No
267,0.0,7-ketodeoxycholate,7-ketotaurodeoxycholate,137820,0.92970484,No
268,0.0,glycolithocholate,glycolithocholate,60008,1.0,No
269,0.0,androsterone sulfate,androstane sulfate,131647,0.8891887,No
270,0.0,indolepropionate,indolepropionate,82916,1.0,No
271,0.0,N-(2-furoyl)glycine,N-(furan-2-ylcarbonyl)glycine,82912,0.86621356,No
272,0.0,trigonelline (N'-methylnicotinate),"triacontane-7,9-diol",185116,0.6689754,No
273,0.0,dodecanedioate (C12-DC),"1,12-diascorbyl dodecanedioate",59753,0.7519515,No
274,0.0,"glutamate, gamma-methyl ester",gamma-methyl L-glutamate,21306,0.8555129,No
275,0.0,N-acetyltyrosine,N-acetyltyrosine,68561,1.0,No
276,0.0,"1,3-dimethylurate","3,7-dimethylurate",68531,0.8856502,No
277,0.0,3-methylxanthine,3-Methylxanthine,62207,1.0,No
278,0.0,3-hydroxylaurate,2-hydroxylaurate,141772,0.8252157,No
279,0.0,pyridoxate,pyridoxates,132948,0.83920217,No
280,0.0,gamma-glutamylvaline,gamma-Glutamylvaline,68848,1.0,No
281,0.0,pyroglutamylvaline,Pyroglutamyl valine,132991,0.79927677,No
282,0.0,3-hydroxysebacate,3-hydroxysebacate,132935,1.0,No
283,0.0,5-hydroxyhexanoate,5-hydroxyhexanoate,132985,1.0,No
284,0.0,propionylglycine,propanoylglycine,89836,0.9186133,No
285,0.0,propionylcarnitine (C3),Propionylcarnitine,28867,0.8077513,Yes
286,0.0,pro-hydroxy-pro,pro-hydroxy-pro,133733,1.0,No
287,0.0,3-hydroxy-2-ethylpropionate,3-hydroxy-2-ethylpropionate,82955,1.0,No
288,0.0,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),3-carboxy-4-methyl-5-propyl-2-furanpropanoate,194524,0.80309355,No
289,0.0,docosapentaenoate (n3 DPA; 22:5n3),Docosapentaenoic acid (22n-6),65136,0.7330772,Yes
290,0.0,docosadienoate (22:2n6),Docosadienoate (22:2n6),145970,1.0,No
291,0.0,adrenate (22:4n6),adrenate,77225,0.64099175,No
292,0.0,10-undecenoate (11:1n1),10-Undecensaeure,35045,0.6255295,No
293,0.0,myristoleate (14:1n5),myristyl myristate,138721,0.67193013,No
294,0.0,4-imidazoleacetate,4-imidazoleacetate,27850,1.0,No
295,0.0,1-methyl-4-imidazoleacetate,"1,4-methyl-imidazoleacetic acid",1606,0.8558334,No
296,0.0,sebacate (C10-DC),sebacate anion,132954,0.709133,No
297,0.0,stearidonate (18:4n3),stearidonate (18:4n3),77222,1.0,No
298,0.0,5-dodecenoate (12:1n7),n-dodecanoate,18262,0.65608925,No
299,0.0,octanoylcarnitine (C8),octanoylcarnitine,73039,0.8271221,No
300,0.0,tauro-beta-muricholate,tauro-beta-muricholate,133064,1.0,No
301,0.0,decanoylcarnitine (C10),decanoylcarnitine,68830,0.8462152,No
302,0.0,N-acetylglutamine,N-Acetylglutamine,73685,1.0,No
303,0.0,N-acetyltryptophan,N-acetyltryptophan,70976,1.0,No
304,0.0,N-acetylphenylalanine,N-acetylphenylalanine,21626,1.0,No
305,0.0,gamma-glutamyl-epsilon-lysine,gamma-glutamyl-epsilon-lysine,88494,1.0,No
306,0.0,1-palmitoyl-GPC (16:0),1-palmitoyl-GPC (16:0),72998,1.0,No
307,0.0,1-margaroyl-GPC (17:0),1-margaroyl-GPC (17:0),74340,1.0,No
308,0.0,N-acetylarginine,N-acetyldinaline,90195,0.7884599,No
309,0.0,piperine,piperine,28821,1.0,No
310,0.0,campesterol,campesterol,28623,1.0,No
311,0.0,myristoylcarnitine (C14),L-Myristoylcarnitine,84634,0.78585017,No
312,0.0,1-stearoyl-GPC (18:0),1-stearoyl-2-oleoyl-GPC (18:0/18:1),75034,0.84701765,No
313,0.0,1-oleoyl-GPC (18:1),1-oleoyl-GPI (18:1),78762,0.87424374,No
314,0.0,N-acetylthreonine,N-acetylthreonine,45826,1.0,No
315,0.0,N-acetylisoleucine,N-acetylisoleucine,84056,1.0,No
316,0.0,10-nonadecenoate (19:1n9),(10E)-octadecenoate,194438,0.6869837,No
317,0.0,10-heptadecenoate (17:1n7),9-hexadecenoate(1-),71449,0.7661946,No
318,0.0,epiandrosterone sulfate,epiandrosterone 3-sulfate,133729,0.9067388,No
319,0.0,N-acetylhistidine,N-acetylhistidine,86910,1.0,No
320,0.0,gamma-glutamylglycine,gamma-glutamylalanylglycine,143251,0.95712763,No
321,0.0,gamma-glutamyltryptophan,gamma-glutamyltryptophan,133028,1.0,No
322,0.0,stachydrine,Stachydrine,35280,1.0,No
323,0.0,alpha-hydroxyisovalerate,alpha-hydroxyisovalerate,64669,1.0,No
324,0.0,gamma-glutamylmethionine,gamma-glutamylmethioninate,133690,0.9246899,No
325,0.0,gamma-glutamylthreonine,gamma-glutamylthreonine,82968,1.0,No
326,0.0,p-cresol sulfate,p-cresol sulfate,133670,1.0,No
327,0.0,erythronate*,erythronates,133792,0.834334,No
328,0.0,salicyluric glucuronide*,salicyluric glucuronide,133026,0.94852865,No
329,0.0,eicosenoate (20:1),Eicosenoate,78075,0.71366966,No
330,0.0,linolenate [alpha or gamma; (18:3n3 or 6)],Methyl alpha-linolenate,133634,0.725381,No
331,0.0,aconitate [cis or trans],trans-aconitate,15708,0.8420319,No
332,0.0,1-myristoyl-GPC (14:0),1-myristoyl-2-palmitoyl-GPC (14:0/16:0),75062,0.5956406,No
333,0.0,1-arachidoyl-GPC (20:0),1-arachidoyl-GPC (20:0),74968,1.0,No
334,0.0,stearoylcarnitine (C18),(R)-stearoylcarnitine,84644,0.84510297,No
335,0.0,laurylcarnitine (C12),laurylcarnitine,77086,0.79388416,No
336,0.0,isovalerylcarnitine (C5),(R)-isobutyrylcarnitine,84838,0.7224884,No
337,0.0,1-linoleoyl-GPC (18:2),1-linoleoyl-GPC (18:2),28733,1.0,No
338,0.0,7-methylxanthine,7-methylxanthine,48991,1.0,No
339,0.0,"1,3,7-trimethylurate","1,3,7-trimethylurate",691622,1.0,No
340,0.0,"3,7-dimethylurate","3,7-dimethylurate",68531,1.0,No
341,0.0,"1,7-dimethylurate","3,7-dimethylurate",68531,0.87670994,No
342,0.0,5-acetylamino-6-formylamino-3-methyluracil,5-Acetylamino-6-formylamino-3-methyluracil,32643,1.0,Yes
343,0.0,5-acetylamino-6-amino-3-methyluracil,5-Acetylamino-6-formylamino-3-methyluracil,32643,0.87193286,Yes
344,0.0,1-methylxanthine,1-methylxanthines,68443,0.87446356,No
345,0.0,N1-methylinosine,N1-Methylinosine,19065,1.0,No
346,0.0,"N2,N2-dimethylguanosine",N2-Dimethylguanosine,19289,0.9736971,No
347,0.0,N4-acetylcytidine,N(4)-acetylcytidine,70989,0.9192599,No
348,0.0,N6-carbamoylthreonyladenosine,N6-Carbamoylthreonyladenosine,21440,1.0,No
349,0.0,orotidine,Orotidylic acid,15842,0.6748805,No
350,0.0,phenylacetylglutamine,Phenylacetylglutamine,8087,1.0,No
351,0.0,4-hydroxyhippurate,4-hydroxyhippurate,133613,1.0,No
352,0.0,"5,6-dihydrouridine","5,6-dihydrouridine",23774,1.0,No
353,0.0,3-(3-amino-3-carboxypropyl)uridine*,3-(3-amino-3-carboxypropyl)uridine,19928,0.9752103,No
354,0.0,1-arachidonylglycerol (20:4),1-Arachidonoylglycerol,34071,0.8606094,No
355,0.0,cysteine-glutathione disulfide,glutathione amide disulfide,59896,0.8002637,No
356,0.0,5-methyluridine (ribothymidine),5-methyluridine,45996,0.79644513,No
357,0.0,isovalerylglycine,isovalerylglycine,70984,1.0,No
358,0.0,7-methylguanine,7-Methylguanine,2274,1.0,Yes
359,0.0,1-stearoyl-GPE (18:0),2-stearoyl-GPE (18:0),133144,0.9566063,No
360,0.0,3-methylcytidine,3-methylcytosine,39992,0.7970754,No
361,0.0,N1-Methyl-2-pyridone-5-carboxamide,N1-Methyl-4-pyridone-5-carboxamide,27838,0.9902596,No
362,0.0,gamma-glutamylisoleucine*,gamma-glutamylleucine(1-),133038,0.80076283,No
363,0.0,oleoylcarnitine (C18:1),oleoylcarnitine,72689,0.7604884,No
364,0.0,2-methylbutyrylcarnitine (C5),2-methylbutyryl-L-carnitine,84840,0.76964396,No
365,0.0,phenol sulfate,Phenol sulfate,27905,1.0,Yes
366,0.0,1-palmitoleoyl-GPC (16:1)*,2-palmitoleoyl-GPC (16:1),133515,0.91928935,No
